,token_id,rarity_rank,Background_value,Background_count,Hat_value,Hat_count,Mouth_value,Mouth_count,Eyes_value,Eyes_count,Fur_value,Fur_count,Clothes_value,Clothes_count,Earring_value,Earring_count
35,49,2583,Purple,1291,Fisherman's Hat,345.0,Bored Unshaven Cigarette,438,Bored,1714,Cheetah,406,Bone Tee,230.0,Silver Stud,823.0
36,50,4559,Army Green,1243,Seaman's Hat,420.0,Tongue Out,202,Bored,1714,Robot,265,Sailor Shirt,284.0,,
37,51,3920,Orange,1273,Girl's Hair Short,150.0,Bored Unshaven,1551,Cyborg,108,Dark Brown,1352,Lumberjack Shirt,213.0,,
38,52,6322,Army Green,1243,King's Crown,77.0,Bored,2272,Sleepy,751,Black,1229,Work Vest,188.0,,
39,53,9260,Yellow,1283,Fez,377.0,Grin,713,Wide Eyed,549,Brown,1370,,,,
40,54,9293,Purple,1291,,,Bored,2272,Sleepy,751,Pink,511,Leather Jacket,206.0,,
41,55,73,New Punk Blue,1232,Bunny Ears,195.0,Grin Multicolored,116,Sunglasses,352,Cheetah,406,Lumberjack Shirt,213.0,Gold Stud,439.0
42,56,5632,Yellow,1283,Commie Hat,304.0,Dumbfounded,505,Crazy,407,Brown,1370,Guayabera,232.0,,
43,57,1530,Army Green,1243,Seaman's Hat,420.0,Phoneme L,241,Sad,551,Dark Brown,1352,Bayc T Red,140.0,Silver Stud,823.0
44,58,2537,Yellow,1283,Commie Hat,304.0,Discomfort,208,Angry,432,Zombie,302,Navy Striped Tee,334.0,,
45,59,6305,Gray,1170,,,Phoneme Wah,163,Wide Eyed,549,Red,474,Navy Striped Tee,334.0,,
46,61,7754,Aquamarine,1266,,,Bored Cigarette,710,Eyepatch,333,Cream,636,Bone Tee,230.0,,
47,62,6605,Aquamarine,1266,,,Rage,266,Heart,394,Cream,636,Tanktop,235.0,,
48,64,4426,Purple,1291,Army Hat,294.0,Bored,2272,3d,487,Brown,1370,Navy Striped Tee,334.0,Gold Hoop,462.0
49,65,8905,New Punk Blue,1232,,,Bored Cigarette,710,Bored,1714,Blue,490,Stunt Jacket,178.0,,
50,66,507,Army Green,1243,Bayc Flipped Brim,231.0,Bored Cigarette,710,Bored,1714,Pink,511,Blue Dress,95.0,Cross,149.0
51,67,8828,Orange,1273,,,Grin,713,Sleepy,751,Black,1229,Bayc T Red,140.0,,
52,68,3799,Orange,1273,Ww2 Pilot Helm,110.0,Bored Unshaven Cigarette,438,Bloodshot,846,Blue,490,Black T,334.0,,
53,69,8538,Orange,1273,Seaman's Hat,420.0,Phoneme  ooo,255,Sad,551,Dark Brown,1352,,,,
54,70,7334,Purple,1291,,,Phoneme  ooo,255,Sunglasses,352,Brown,1370,Bone Necklace,203.0,,
55,71,6648,Orange,1273,Bowler,262.0,Bored,2272,Bloodshot,846,Cheetah,406,Stunt Jacket,178.0,,
56,72,2843,Yellow,1283,Horns,252.0,Bored,2272,Bloodshot,846,Blue,490,Prison Jumpsuit,235.0,Gold Stud,439.0
57,73,5,Army Green,1243,Bandana Blue,89.0,Rage,266,Sad,551,Solid Gold,46,Work Vest,188.0,Gold Stud,439.0
58,74,1804,Purple,1291,Bowler,262.0,Phoneme Vuh,333,Angry,432,Death Bot,175,Guayabera,232.0,,
59,75,2956,Orange,1273,S&m Hat,235.0,Discomfort,208,Closed,710,Golden Brown,778,Bayc T Red,140.0,,
60,76,8329,New Punk Blue,1232,Fez,377.0,Grin,713,Bored,1714,Brown,1370,Toga,202.0,,
61,77,5239,Yellow,1283,Beanie,578.0,Dumbfounded,505,Coins,479,Red,474,Wool Turtleneck,240.0,,
62,78,5890,Yellow,1283,Fez,377.0,Grin,713,3d,487,Black,1229,Lab Coat,144.0,,
63,79,9832,Army Green,1243,,,Bored,2272,Bored,1714,Dark Brown,1352,Lab Coat,144.0,,
64,80,2218,Orange,1273,Horns,252.0,Bored Unshaven,1551,Sad,551,Brown,1370,Tanktop,235.0,Diamond Stud,222.0
65,81,3833,Blue,1242,,,Discomfort,208,Blindfold,264,Red,474,Cowboy Shirt,119.0,,
66,82,3055,Army Green,1243,,,Jovial,296,Sad,551,Cream,636,Service,142.0,Silver Hoop,882.0
67,83,3900,Blue,1242,Ww2 Pilot Helm,110.0,Bored Unshaven,1551,Coins,479,Cream,636,Tweed Suit,141.0,,
68,84,6384,New Punk Blue,1232,Ww2 Pilot Helm,110.0,Bored Unshaven,1551,Coins,479,Brown,1370,Hawaiian,283.0,,
69,85,3677,Blue,1242,Bowler,262.0,Grin,713,Bloodshot,846,Tan,626,Admirals Coat,64.0,,
70,86,6784,New Punk Blue,1232,,,Bored,2272,Bored,1714,Zombie,302,Tuxedo Tee,235.0,Gold Hoop,462.0
71,87,4437,Aquamarine,1266,Bunny Ears,195.0,Bored Unshaven,1551,Sunglasses,352,Cheetah,406,Guayabera,232.0,,
72,88,1647,Blue,1242,Horns,252.0,Bored Unshaven,1551,Wide Eyed,549,Black,1229,Pimp Coat,80.0,Gold Hoop,462.0
73,89,5190,Gray,1170,Commie Hat,304.0,Bored Dagger,49,3d,487,Black,1229,,,,
74,90,483,Army Green,1243,Prussian Helmet,130.0,Grin,713,Hypnotized,220,Golden Brown,778,Tweed Suit,141.0,Silver Hoop,882.0
75,91,7862,Army Green,1243,Beanie,578.0,Bored Cigarette,710,Sleepy,751,Brown,1370,Black Holes T,205.0,,
76,92,7465,Blue,1242,Beanie,578.0,Jovial,296,Heart,394,Pink,511,,,,
77,93,5111,Purple,1291,Fez,377.0,Bored Unshaven Cigarette,438,Bored,1714,White,397,Hip Hop,128.0,,
78,94,1794,Aquamarine,1266,Beanie,578.0,Bored Unshaven Kazoo,61,Closed,710,Zombie,302,Black Holes T,205.0,,
79,95,5308,Yellow,1283,S&m Hat,235.0,Bored,2272,Scumbag,233,Tan,626,Lumberjack Shirt,213.0,,
80,97,9570,Blue,1242,Commie Hat,304.0,Bored,2272,Heart,394,Dark Brown,1352,,,,
81,98,2319,Gray,1170,Spinner Hat,181.0,Rage,266,Bored,1714,Death Bot,175,Stunt Jacket,178.0,,
82,99,2724,Army Green,1243,Sushi Chef Headband,187.0,Grin,713,Closed,710,Dark Brown,1352,Black Holes T,205.0,Silver Hoop,882.0
83,100,8158,Yellow,1283,Party Hat 2,107.0,Bored Cigarette,710,Wide Eyed,549,Dark Brown,1352,,,,
84,101,6874,Army Green,1243,Fisherman's Hat,345.0,Bored,2272,Eyepatch,333,Gray,496,Navy Striped Tee,334.0,,
85,102,8174,Aquamarine,1266,Irish Boho,225.0,Bored,2272,Bored,1714,Gray,496,Biker Vest,253.0,,
86,103,5131,Purple,1291,Short Mohawk,318.0,Phoneme L,241,Sleepy,751,Black,1229,Leather Jacket,206.0,,
87,105,2794,Aquamarine,1266,Seaman's Hat,420.0,Rage,266,Coins,479,Black,1229,Striped Tee,412.0,Silver Hoop,882.0
88,108,4174,Purple,1291,Sea Captain's Hat,304.0,Grin,713,X Eyes,243,Dark Brown,1352,,,Gold Stud,439.0
89,109,5456,Orange,1273,,,Bored Cigarette,710,Eyepatch,333,Dark Brown,1352,Bayc T Black,215.0,Silver Stud,823.0
90,112,8889,New Punk Blue,1232,Cowboy Hat,354.0,Bored,2272,X Eyes,243,Cream,636,,,,
91,114,1968,Yellow,1283,Seaman's Hat,420.0,Bored Cigarette,710,Holographic,151,Dark Brown,1352,Bone Tee,230.0,Silver Hoop,882.0
92,115,2961,Purple,1291,Bayc Hat Black,228.0,Bored Cigar,121,Bloodshot,846,Cream,636,Sleeveless T,252.0,,
93,117,4270,Blue,1242,Beanie,578.0,Bored Cigarette,710,Cyborg,108,Tan,626,Navy Striped Tee,334.0,,
94,118,1885,New Punk Blue,1232,,,Bored Kazoo,74,Blue Beams,49,Tan,626,Navy Striped Tee,334.0,,
95,119,1329,Blue,1242,Beanie,578.0,Phoneme L,241,Angry,432,Gray,496,Hawaiian,283.0,Silver Stud,823.0
96,120,355,Aquamarine,1266,Sea Captain's Hat,304.0,Bored Pizza,50,Heart,394,Brown,1370,Work Vest,188.0,Silver Hoop,882.0
97,122,3463,Orange,1273,,,Bored Cigarette,710,Heart,394,Pink,511,Service,142.0,Silver Stud,823.0
98,123,1208,New Punk Blue,1232,Spinner Hat,181.0,Bored Cigar,121,Coins,479,White,397,Black Holes T,205.0,,
99,124,4038,Gray,1170,Short Mohawk,318.0,Bored Cigarette,710,Eyepatch,333,White,397,Hawaiian,283.0,,
100,125,8508,Orange,1273,Army Hat,294.0,Bored Cigarette,710,Coins,479,Golden Brown,778,,,,
101,126,1136,Army Green,1243,Safari,182.0,Grin,713,Coins,479,Zombie,302,Navy Striped Tee,334.0,Silver Hoop,882.0
102,127,7818,Orange,1273,S&m Hat,235.0,Grin,713,Crazy,407,Cream,636,,,,
103,128,2388,Yellow,1283,Trippy Captain's Hat,65.0,Bored,2272,Hypnotized,220,Gray,496,Leather Punk Jacket,153.0,,
104,129,4153,New Punk Blue,1232,Baby's Bonnet,158.0,Rage,266,Bored,1714,Pink,511,Tanktop,235.0,,
105,130,9707,Aquamarine,1266,,,Bored,2272,Bored,1714,Pink,511,Vietnam Jacket,224.0,,
106,131,9880,Gray,1170,,,Bored,2272,Bored,1714,Dark Brown,1352,Bone Necklace,203.0,,
107,132,67,Army Green,1243,Girl's Hair Pink,105.0,Bored Unshaven Kazoo,61,Wide Eyed,549,Red,474,Black Holes T,205.0,Silver Stud,823.0
108,133,9833,Aquamarine,1266,,,Bored Unshaven,1551,Bored,1714,Brown,1370,Black Holes T,205.0,,
109,134,3775,Army Green,1243,Halo,324.0,Bored Unshaven,1551,Laser Eyes,69,Dark Brown,1352,Sleeveless Logo T,144.0,,
110,135,2080,Blue,1242,S&m Hat,235.0,Bored,2272,Sad,551,Pink,511,Lumberjack Shirt,213.0,Gold Stud,439.0
111,136,7170,Blue,1242,,,Phoneme Vuh,333,Heart,394,Tan,626,Hawaiian,283.0,,
112,137,4725,New Punk Blue,1232,Short Mohawk,318.0,Bored,2272,Crazy,407,Death Bot,175,Tanktop,235.0,,
113,138,910,Orange,1273,Halo,324.0,Phoneme Vuh,333,Bloodshot,846,Dark Brown,1352,Bayc T Black,215.0,Cross,149.0
114,139,3960,Army Green,1243,Army Hat,294.0,Bored Unshaven,1551,X Eyes,243,Zombie,302,Puffy Vest,227.0,,
115,140,8423,Yellow,1283,,,Bored Unshaven,1551,Eyepatch,333,Cheetah,406,Sailor Shirt,284.0,,
116,141,5459,Aquamarine,1266,,,Dumbfounded,505,Closed,710,Cream,636,Hawaiian,283.0,Silver Hoop,882.0
117,142,3059,Blue,1242,Bayc Hat Black,228.0,Bored,2272,Sleepy,751,Blue,490,Black T,334.0,Gold Hoop,462.0
118,144,3379,Orange,1273,Fisherman's Hat,345.0,Phoneme Vuh,333,Wide Eyed,549,White,397,Toga,202.0,,
119,145,5975,Orange,1273,Prussian Helmet,130.0,Bored Unshaven,1551,3d,487,Black,1229,Bone Necklace,203.0,,
120,146,168,Gray,1170,Faux Hawk,136.0,Phoneme L,241,Laser Eyes,69,Zombie,302,Sleeveless Logo T,144.0,,
121,147,7577,Orange,1273,,,Bored,2272,Bored,1714,Zombie,302,Black Holes T,205.0,Silver Hoop,882.0
122,149,7678,Orange,1273,,,Bored Cigarette,710,3d,487,White,397,,,Silver Hoop,882.0
123,150,8160,Gray,1170,Sushi Chef Headband,187.0,Bored,2272,Bored,1714,Dark Brown,1352,Cowboy Shirt,119.0,,
124,152,3307,Army Green,1243,Girl's Hair Pink,105.0,Bored,2272,Sad,551,Brown,1370,Tanktop,235.0,Silver Stud,823.0
125,154,6960,Army Green,1243,Girl's Hair Short,150.0,Bored,2272,Bloodshot,846,Golden Brown,778,Toga,202.0,,
126,156,5254,Orange,1273,S&m Hat,235.0,Bored Unshaven,1551,X Eyes,243,Golden Brown,778,Tanktop,235.0,,
127,157,9367,Army Green,1243,,,Bored,2272,Bored,1714,Dark Brown,1352,Navy Striped Tee,334.0,Silver Stud,823.0
128,158,9184,Purple,1291,,,Bored Unshaven,1551,Bored,1714,Dark Brown,1352,Black T,334.0,Silver Hoop,882.0
129,159,9823,Aquamarine,1266,,,Bored,2272,Sad,551,Zombie,302,,,,
130,160,9327,Blue,1242,Short Mohawk,318.0,Bored,2272,X Eyes,243,Dark Brown,1352,,,,
131,161,9044,Yellow,1283,Commie Hat,304.0,Grin,713,Sad,551,Black,1229,,,,
132,162,1877,Blue,1242,Spinner Hat,181.0,Jovial,296,Bloodshot,846,Noise,155,Wool Turtleneck,240.0,,
133,163,5381,Aquamarine,1266,Bayc Flipped Brim,231.0,Bored Unshaven,1551,Heart,394,Zombie,302,Striped Tee,412.0,,
134,166,489,Army Green,1243,Sushi Chef Headband,187.0,Phoneme Wah,163,Angry,432,Pink,511,Black T,334.0,Silver Hoop,882.0
135,167,4194,Yellow,1283,Irish Boho,225.0,Bored,2272,Coins,479,Black,1229,Puffy Vest,227.0,Silver Hoop,882.0
136,168,1931,Army Green,1243,Fisherman's Hat,345.0,Phoneme  ooo,255,Sad,551,Black,1229,Tanktop,235.0,Silver Hoop,882.0
137,169,4450,Blue,1242,Faux Hawk,136.0,Dumbfounded,505,Bored,1714,White,397,Smoking Jacket,221.0,,
138,170,3169,Army Green,1243,Sea Captain's Hat,304.0,Phoneme  ooo,255,Heart,394,Cream,636,Guayabera,232.0,,
139,171,9411,Yellow,1283,,,Bored Unshaven,1551,Closed,710,Brown,1370,Service,142.0,,
140,172,9587,Yellow,1283,Bayc Flipped Brim,231.0,Bored Unshaven,1551,Bloodshot,846,Black,1229,,,,
141,173,8104,Yellow,1283,Bayc Flipped Brim,231.0,Bored,2272,Bored,1714,Blue,490,Guayabera,232.0,,
142,174,690,Aquamarine,1266,Bowler,262.0,Rage,266,Bloodshot,846,Pink,511,Black Holes T,205.0,Gold Hoop,462.0
143,175,6103,Aquamarine,1266,,,Bored,2272,Scumbag,233,Black,1229,Service,142.0,Silver Hoop,882.0
144,176,4266,Yellow,1283,Bowler,262.0,Phoneme  ooo,255,Coins,479,Black,1229,Puffy Vest,227.0,,
145,177,3773,Army Green,1243,Sushi Chef Headband,187.0,Grin,713,Heart,394,Dark Brown,1352,Blue Dress,95.0,,
146,178,2201,Aquamarine,1266,Girl's Hair Pink,105.0,Bored Unshaven,1551,Sleepy,751,Tan,626,Puffy Vest,227.0,Silver Hoop,882.0
147,179,6534,Army Green,1243,Bowler,262.0,Bored,2272,Sad,551,Blue,490,Bayc T Black,215.0,,
148,180,4981,Gray,1170,Seaman's Hat,420.0,Bored Cigarette,710,Zombie,308,Cream,636,Biker Vest,253.0,,
149,181,4083,Aquamarine,1266,,,Bored,2272,Crazy,407,Dmt,215,Leather Punk Jacket,153.0,Silver Stud,823.0
150,182,8822,Army Green,1243,Seaman's Hat,420.0,Bored,2272,Bloodshot,846,Black,1229,Lumberjack Shirt,213.0,,
151,183,7732,Yellow,1283,,,Bored,2272,Sleepy,751,Brown,1370,Bone Tee,230.0,Gold Stud,439.0
152,184,2351,Gray,1170,Prussian Helmet,130.0,Bored Unshaven,1551,X Eyes,243,White,397,Rainbow Suspenders,135.0,,
153,185,787,Orange,1273,Fez,377.0,Bored Cigarette,710,Blue Beams,49,Zombie,302,Cowboy Shirt,119.0,,
154,186,7814,Gray,1170,Army Hat,294.0,Bored,2272,Closed,710,Golden Brown,778,Wool Turtleneck,240.0,,
155,188,2538,Gray,1170,Fisherman's Hat,345.0,Bored,2272,Sleepy,751,White,397,Prom Dress,103.0,Silver Hoop,882.0
156,189,2237,Army Green,1243,Prussian Helmet,130.0,Bored Unshaven,1551,Closed,710,White,397,,,Cross,149.0
157,190,9815,Yellow,1283,Girl's Hair Short,150.0,Bored,2272,Bored,1714,Brown,1370,,,,
158,191,9671,New Punk Blue,1232,Halo,324.0,Bored,2272,3d,487,Dark Brown,1352,,,,
159,192,9932,Yellow,1283,,,Phoneme Vuh,333,Bored,1714,Dark Brown,1352,,,,
160,193,3338,Gray,1170,,,Rage,266,Laser Eyes,69,Cream,636,Bone Necklace,203.0,,
161,194,9352,Purple,1291,,,Dumbfounded,505,Bloodshot,846,Brown,1370,Black T,334.0,,
162,195,4441,Blue,1242,,,Bored Cigarette,710,Bored,1714,Zombie,302,Work Vest,188.0,Gold Hoop,462.0
163,196,5582,Gray,1170,Seaman's Hat,420.0,Bored Cigarette,710,Bored,1714,Death Bot,175,,,Silver Hoop,882.0
164,197,344,Army Green,1243,Bayc Hat Red,119.0,Grin,713,X Eyes,243,Solid Gold,46,Bone Necklace,203.0,,
165,198,965,New Punk Blue,1232,Baby's Bonnet,158.0,Discomfort,208,Crazy,407,White,397,,,Gold Stud,439.0
166,199,5454,Army Green,1243,Girl's Hair Short,150.0,Grin,713,Zombie,308,Brown,1370,Striped Tee,412.0,,
167,200,2901,Purple,1291,Cowboy Hat,354.0,Bored Cigarette,710,Heart,394,Death Bot,175,Leather Jacket,206.0,,
168,201,9735,New Punk Blue,1232,,,Bored Unshaven,1551,Bored,1714,Black,1229,Leather Punk Jacket,153.0,,
169,202,5852,Gray,1170,,,Phoneme  ooo,255,Bored,1714,Noise,155,Caveman Pelt,163.0,,
170,203,5462,New Punk Blue,1232,Horns,252.0,Jovial,296,Bored,1714,Tan,626,Tuxedo Tee,235.0,,
171,204,7624,New Punk Blue,1232,,,Phoneme Vuh,333,Eyepatch,333,Noise,155,,,,
172,205,3522,New Punk Blue,1232,Fez,377.0,Bored Pipe,132,Crazy,407,Black,1229,Guayabera,232.0,,
173,206,2020,New Punk Blue,1232,Sea Captain's Hat,304.0,Jovial,296,Blindfold,264,Dark Brown,1352,,,Diamond Stud,222.0
174,207,8041,Aquamarine,1266,,,Bored Unshaven,1551,Heart,394,Dmt,215,Black T,334.0,,
175,208,47,Army Green,1243,Fez,377.0,Bored Unshaven Pizza,26,Coins,479,Pink,511,Prom Dress,103.0,Silver Stud,823.0
176,209,9229,Gray,1170,,,Bored,2272,Angry,432,Golden Brown,778,Prison Jumpsuit,235.0,,
177,210,6781,New Punk Blue,1232,,,Grin,713,X Eyes,243,Red,474,Smoking Jacket,221.0,,
178,211,1737,Gray,1170,Baby's Bonnet,158.0,Bored,2272,Zombie,308,Trippy,77,Work Vest,188.0,,
179,212,1130,Orange,1273,Army Hat,294.0,Bored,2272,Closed,710,Cream,636,Pimp Coat,80.0,Diamond Stud,222.0
180,213,8038,Gray,1170,,,Bored Cigarette,710,Hypnotized,220,Brown,1370,,,Silver Stud,823.0
181,214,2683,Orange,1273,Irish Boho,225.0,Dumbfounded,505,Closed,710,Brown,1370,Wool Turtleneck,240.0,Silver Stud,823.0
182,215,9935,Army Green,1243,Cowboy Hat,354.0,Bored,2272,Bored,1714,Dark Brown,1352,,,,
183,216,9157,Army Green,1243,,,Bored,2272,Coins,479,Tan,626,,,Silver Stud,823.0
184,217,1859,New Punk Blue,1232,,,Rage,266,Bloodshot,846,Pink,511,Prom Dress,103.0,Gold Stud,439.0
185,218,5052,Blue,1242,Army Hat,294.0,Grin,713,Zombie,308,Brown,1370,Caveman Pelt,163.0,,
186,219,4100,Orange,1273,Stuntman Helmet,157.0,Discomfort,208,Bored,1714,Cream,636,Puffy Vest,227.0,,
187,220,5512,Yellow,1283,Short Mohawk,318.0,Bored,2272,Blindfold,264,Red,474,Black Holes T,205.0,,
188,221,4292,Purple,1291,Cowboy Hat,354.0,Phoneme Wah,163,Crazy,407,Dark Brown,1352,Sailor Shirt,284.0,,
189,222,212,Aquamarine,1266,Stuntman Helmet,157.0,Bored Pipe,132,X Eyes,243,Dark Brown,1352,Bayc T Red,140.0,Silver Stud,823.0
190,223,440,Purple,1291,Prussian Helmet,130.0,Bored Unshaven Cigarette,438,3d,487,Gray,496,Leather Punk Jacket,153.0,Silver Stud,823.0
191,224,8893,Yellow,1283,,,Bored Unshaven,1551,3d,487,White,397,Black T,334.0,,
192,225,5782,Purple,1291,Halo,324.0,Bored,2272,Sunglasses,352,Cheetah,406,Leather Jacket,206.0,,
193,226,3056,Army Green,1243,,,Bored Party Horn,88,Scumbag,233,Cream,636,Service,142.0,,
194,228,5293,New Punk Blue,1232,Beanie,578.0,Bored,2272,Sad,551,White,397,,,Diamond Stud,222.0
195,229,2118,Purple,1291,Vietnam Era Helmet,223.0,Grin,713,Sad,551,Dark Brown,1352,Tie Dye,144.0,Silver Stud,823.0
196,230,8492,Blue,1242,Beanie,578.0,Bored Unshaven,1551,Sleepy,751,Dark Brown,1352,Caveman Pelt,163.0,,
197,231,3162,Orange,1273,Beanie,578.0,Rage,266,X Eyes,243,Pink,511,Bone Tee,230.0,,
198,232,3887,Army Green,1243,Seaman's Hat,420.0,Bored,2272,Sleepy,751,Solid Gold,46,Smoking Jacket,221.0,,
199,236,8953,Orange,1273,,,Bored,2272,Blue Beams,49,Pink,511,,,,
200,237,364,Orange,1273,Sushi Chef Headband,187.0,Small Grin,272,Bloodshot,846,Robot,265,Leather Punk Jacket,153.0,Silver Stud,823.0
201,238,8821,Army Green,1243,,,Bored Unshaven,1551,Wide Eyed,549,Red,474,Guayabera,232.0,,
202,239,3961,Blue,1242,Commie Hat,304.0,Bored,2272,Closed,710,Blue,490,Sleeveless T,252.0,Silver Hoop,882.0
203,240,1543,Yellow,1283,Party Hat 1,120.0,Rage,266,Hypnotized,220,Black,1229,Tweed Suit,141.0,,
204,241,3870,Aquamarine,1266,Fisherman's Hat,345.0,Dumbfounded,505,Coins,479,Tan,626,Rainbow Suspenders,135.0,,
205,243,2561,Blue,1242,Army Hat,294.0,Bored Bubblegum,119,Angry,432,Brown,1370,Bayc T Red,140.0,,
206,244,2618,Purple,1291,Prussian Helmet,130.0,Phoneme Oh,237,3d,487,Dark Brown,1352,Sleeveless Logo T,144.0,,
207,245,283,Gray,1170,Girl's Hair Short,150.0,Dumbfounded,505,Robot,350,Cheetah,406,Sleeveless T,252.0,Gold Stud,439.0
208,246,2545,Gray,1170,,,Bored Unshaven,1551,Sunglasses,352,Black,1229,Blue Dress,95.0,Cross,149.0
209,247,921,New Punk Blue,1232,Beanie,578.0,Bored Unshaven Cigar,94,Wide Eyed,549,Dark Brown,1352,Tuxedo Tee,235.0,Gold Stud,439.0
210,248,1599,New Punk Blue,1232,,,Rage,266,Hypnotized,220,Dark Brown,1352,Admirals Coat,64.0,Silver Stud,823.0
211,249,1264,Blue,1242,Safari,182.0,Bored Party Horn,88,Sunglasses,352,Brown,1370,Cowboy Shirt,119.0,,
212,250,9087,New Punk Blue,1232,Stuntman Helmet,157.0,Bored,2272,Eyepatch,333,Brown,1370,,,,
213,251,5301,Purple,1291,,,Grin Gold Grill,91,Blindfold,264,Dark Brown,1352,Vietnam Jacket,224.0,,
214,252,31,Army Green,1243,Army Hat,294.0,Bored Party Horn,88,Scumbag,233,Tan,626,Sleeveless T,252.0,Cross,149.0
215,253,4446,Army Green,1243,Stuntman Helmet,157.0,Bored Unshaven,1551,Zombie,308,Cream,636,Bayc T Black,215.0,,
216,254,8629,Orange,1273,,,Bored Unshaven,1551,Crazy,407,Blue,490,,,Silver Hoop,882.0
